epoch,total_epochs,step,total_loss,content_loss,style_loss,tv_loss,vis_image,checkpoint
1,20,2250,7.8628,5.5415,0.0,0.4259,vis_2250.png,
1,20,2300,7.7988,5.4219,0.0,0.4383,vis_2300.png,
1,20,2350,7.5598,5.3784,0.0,0.4308,vis_2350.png,
1,20,2400,8.0873,5.4723,0.0,0.4168,vis_2400.png,
1,20,2450,7.2121,4.9675,0.0,0.4309,vis_2450.png,
1,20,2500,7.6449,5.5196,0.0,0.4372,vis_2500.png,checkpoints/transformer_epoch1_step2500.pth
1,20,2550,8.0118,5.8182,0.0,0.436,vis_2550.png,
1,20,2600,7.5071,5.0239,0.0,0.4223,vis_2600.png,
1,20,2650,8.4189,5.9997,0.0,0.4256,vis_2650.png,
1,20,2700,7.491,5.3578,0.0,0.4311,vis_2700.png,
1,20,2750,7.255,5.1822,0.0,0.428,vis_2750.png,
1,20,2800,7.2504,4.9488,0.0,0.4101,vis_2800.png,
1,20,2850,7.5424,5.2542,0.0,0.4145,vis_2850.png,
1,20,2900,7.6857,5.1931,0.0,0.4253,vis_2900.png,
1,20,2950,7.1625,5.0853,0.0,0.4251,vis_2950.png,
1,20,3000,7.2986,4.9324,0.0,0.4281,vis_3000.png,checkpoints/transformer_epoch1_step3000.pth
1,20,3050,7.3421,4.9812,0.0,0.4297,vis_3050.png,
1,20,3100,7.4995,5.2637,0.0,0.4253,vis_3100.png,
1,20,3150,7.316,4.878,0.0,0.4312,vis_3150.png,
1,20,3200,7.8958,5.4992,0.0,0.4246,vis_3200.png,
1,20,3250,7.3133,5.104,0.0,0.426,vis_3250.png,
1,20,3300,7.4956,5.191,0.0,0.434,vis_3300.png,
1,20,3350,7.2538,4.9872,0.0,0.4274,vis_3350.png,
1,20,3400,7.6178,5.2062,0.0,0.4213,vis_3400.png,
1,20,3450,7.4167,5.109,0.0,0.4242,vis_3450.png,
1,20,3500,6.9909,4.9471,0.0,0.4231,vis_3500.png,checkpoints/transformer_epoch1_step3500.pth
1,20,3550,7.3114,4.9164,0.0,0.4231,vis_3550.png,
1,20,3600,7.9575,5.2199,0.0,0.4225,vis_3600.png,
1,20,3650,7.9577,5.5869,0.0,0.4289,vis_3650.png,
1,20,3700,7.1331,4.9459,0.0,0.4302,vis_3700.png,
1,20,3750,7.0059,4.8088,0.0,0.4305,vis_3750.png,
1,20,3800,7.1647,5.013,0.0,0.4272,vis_3800.png,
1,20,3850,7.2978,5.0888,0.0,0.4247,vis_3850.png,
1,20,3900,6.944,4.9053,0.0,0.4211,vis_3900.png,
1,20,3950,7.1414,4.9631,0.0,0.4337,vis_3950.png,
1,20,4250,6.7976,4.622,0.0,0.4232,vis_4250.png,
1,20,4300,7.2308,5.0722,0.0,0.431,vis_4300.png,
1,20,4350,7.6494,4.9209,0.0,0.4133,vis_4350.png,
1,20,4400,6.7826,4.4632,0.0,0.429,vis_4400.png,
1,20,4450,7.0736,4.9451,0.0,0.4263,vis_4450.png,
1,20,4500,7.9454,5.6765,0.0,0.4265,vis_4500.png,checkpoints/transformer_epoch1_step4500.pth
1,20,4550,6.8768,4.6417,0.0,0.422,vis_4550.png,
